Name,Genre,Description
nine princes in amber,paranormalfantasy,"exiled to the shadows for centuries, a man more than mortal awakens in an earth hospital with no memory of his past and is surrounded by enemies who hunger for his destruction. for corwin is the rightful successor to the throne of the real world. but to rule, he must conquer impossible realities & demonic assassins & survive the most insidious malevolence imaginable wrought by his own family. Exiled to the Shadows for centuries, a man more than mortal awakens in an Earth hospital with no memory of his past and is surrounded by enemies who hunger for his destruction. For Corwin is the rightful successor to the throne of the real world. But to rule, he must conquer impossible realities & demonic assassins & survive the most insidious malevolence imaginable wrought by his own family."
"deep kiss of winter (includes: immortals after dark, #8; alien huntress, #3",paranormalfantasy,"5) . #1 new york times bestselling author kresley cole delivers a breathtaking tale of a brutal vampire soldier about to know love for the first time . . . and a valkyrie aching for his touch. murdoch wroth will stop at nothing to claim daniela--the delicate valkyrie who makes his heart beat for the first time in three hundred years. yet the exquisite danii is part ice fey, and her freezing skin can't be touched by anyone but her own kind without inflicting pain beyond measure. can they conquer an agony of frustration and slake the overwhelming desire burning between them? new york times and usa today bestselling author gena showalter puts a daring spin on a tale of huntress and hunted . . . and concocts a sensual chemistry that is positively explosive. with only skin-to-skin contact, aleaha love can change her appearance, assume any identity. now she's an air (alien investigation and removal) agent on a mission to capture a group of otherworldly warriors. only she is held captive when dangerously seductive breean, a golden-skinned, iron-willed commander, threatens her new life--and for the first time, aleaha wants only to be herself. #1 NEW YORK TIMES BESTSELLING AUTHOR KRESLEY COLE delivers a breathtaking tale of a brutal vampire soldier about to know love for the first time . . . and a Valkyrie aching for his touch. Murdoch Wroth will stop at nothing to claim Daniela--the delicate Valkyrie who makes his heart beat for the first time in three hundred years. Yet the exquisite Danii is part ice fey, and her freezing skin can't be touched by anyone but her own kind without inflicting pain beyond measure. Can they conquer an agony of frustration and slake the overwhelming desire burning between them? NEW YORK TIMES AND USA TODAY BESTSELLING AUTHOR GENA SHOWALTER puts a daring spin on a tale of huntress and hunted . . . and concocts a sensual chemistry that is positively explosive. With only skin-to-skin contact, Aleaha Love can change her appearance, assume any identity. Now she's an AIR (alien investigation and removal) agent on a mission to capture a group of otherworldly warriors. Only she is held captive when dangerously seductive Breean, a golden-skinned, iron-willed commander, threatens her new life--and for the first time, Aleaha wants only to be herself."
"the devil's due (morgan kingsley, #3)",paranormalfantasy,"possession was never this much fun trust me or die...that's the choice morgan kingsley, exorcist, is given by the gorgeous rogue demon who's gotten inside her. the truth is, morgan has dozens of reasons not to trust anyone, from the violence that torched her house and killed her father to a love life that's left her questioning her relationship with her erstwhile boyfriend, brian. but lugh, a king among demons, won't take no for an answer. he's prying into her body, her mind, even her sex life. and he's just pulled morgan into a power struggle that could have devastating consequences for both the human and demon worlds. but morgan still has a job to do: investigating the highly bizarre possession of the son of a wealthy philadelphia couple. that hunt leads morgan into a realm of sexual depravity, then a terrifying kidnapping.... now a woman who makes her living prying demons from their hosts finds her day job colliding with the night: a darkness that is attracting demons of the damnedest sort, including the one who's about to demand his ultimate due.... Possession was never this much fun Trust me or die...That's the choice Morgan Kingsley, exorcist, is given by the gorgeous rogue demon who's gotten inside her. The truth is, Morgan has dozens of reasons not to trust anyone, from the violence that torched her house and killed her father to a love life that's left her questioning her relationship with her erstwhile boyfriend, Brian. But Lugh, a king among demons, won't take no for an answer. He's prying into her body, her mind, even her sex life. And he's just pulled Morgan into a power struggle that could have devastating consequences for both the human and demon worlds. But Morgan still has a job to do: investigating the highly bizarre possession of the son of a wealthy Philadelphia couple. That hunt leads Morgan into a realm of sexual depravity, then a terrifying kidnapping.... Now a woman who makes her living prying demons from their hosts finds her day job colliding with the night: a darkness that is attracting demons of the damnedest sort, including the one who's about to demand his ultimate due...."
"dragonlance: adventures (advanced dungeons & dragons 1st edition, stock #2021)",paranormalfantasy,"at last, the complete krynn source book that contains all the information necessary for limitless campaigning in the world of dragonlance saga! provides all-new information on the character classes, races, artifacts, andpowers that are unique to the fascinating world of krynn ""...for in ages past, beyond memory and word, in the first blush of the world, dragons terrible and great made war on this world of krynn."" for dragonlance saga enthusiasts and ad&d game players everywhere, here is the latest information on the world shattered by dragons and their armies. the backgrounds for knights of solamnia, the wizards of high sorcery, tinker gnomes, kender, and much more are detailed along with their ad&d game system rules. the struggle for the fate of krynn awaits At last, the complete Krynn source book that contains all the information necessary for limitless campaigning in the world of DRAGONLANCE saga! Provides all-new information on the character classes, races, artifacts, andpowers that are unique to the fascinating world of Krynn ""...For in ages past, beyond memory and word, in the first blush of the world, Dragons terrible and great made war on this world of Krynn."" For DRAGONLANCE saga enthusiasts and AD&D game players everywhere, here is the latest information on the world shattered by dragons and their armies. The backgrounds for Knights of Solamnia, the wizards of High Sorcery, tinker gnomes, kender, and much more are detailed along with their AD&D game system rules. The struggle for the fate of Krynn awaits"
"lord of the vampires: 4-in-1 bundle (royal house of shadows, #1-4)",paranormalfantasy,"lord of the vampiresroyal house of shadows #1 once upon a time...the blood sorcerer vanquished the kingdom of elden. to save their children, the queen scattered them to safety and the king filled them with vengeance. only a magical timepiece connects the four royal heirs...and time is running out.... nicolai the vampire was renowned for his virility, but in a twist of fate ""the dark seducer"" had become a sex slave in the kingdom of delfina--stripped of his precious timepiece and his memory. all that remained was a primal need for freedom, revenge--and the only woman who could help him. in her dreams, a wanton vampire called to jane parker, drawing her to his dark sexuality and his magical realm. but for a human, all was not a fairy tale in delfina. jane was the key to nicolai's memory...but exploiting her meant dooming the only mortal he craved. the darkest angellords of the underworld #4.5 an iron-willed demon assassin, the angel lysander has never known lust--until he meets bianka. spawned from the bloodline of lucifer, the beautiful but deadly harpy is determined to lead the pure-hearted lysander into temptation.... the amazon's curseatlantis #5 zane, a fierce vampire warrior, has been enslaved by the amazons. nola, a lovely amazon soldier, has been cursed with invisibility. now, these two stubborn enemies must overcome the pasts that haunt them and embrace a love that can set them free... (can be found as a whole novel ) the darkest prisonlords of the underworld #3.5 passion and danger collide in this brand-new, ebook exclusive lords of the underworld adventure! once, atlas, the titan god of strength, was the greek goddess nike's slave. now, he is her master. and soon these sworn enemies destined to destroy one another will be forced to risk everything for a chance at love... Lord of the VampiresRoyal House of Shadows #1 Once upon a time...the Blood Sorcerer vanquished the kingdom of Elden. To save their children, the queen scattered them to safety and the king filled them with vengeance. Only a magical timepiece connects the four royal heirs...and time is running out.... Nicolai the Vampire was renowned for his virility, but in a twist of fate ""The Dark Seducer"" had become a sex slave in the kingdom of Delfina--stripped of his precious timepiece and his memory. All that remained was a primal need for freedom, revenge--and the only woman who could help him. In her dreams, a wanton vampire called to Jane Parker, drawing her to his dark sexuality and his magical realm. But for a human, all was not a fairy tale in Delfina. Jane was the key to Nicolai's memory...but exploiting her meant dooming the only mortal he craved. The Darkest AngelLords of the Underworld #4.5 An iron-willed demon assassin, the angel Lysander has never known lust--until he meets Bianka. Spawned from the bloodline of Lucifer, the beautiful but deadly Harpy is determined to lead the pure-hearted Lysander into temptation.... The Amazon's CurseAtlantis #5 Zane, a fierce vampire warrior, has been enslaved by the Amazons. Nola, a lovely Amazon soldier, has been cursed with invisibility. Now, these two stubborn enemies must overcome the pasts that haunt them and embrace a love that can set them free... (Can be found as a whole novel ) The Darkest PrisonLords of the Underworld #3.5 Passion and danger collide in this brand-new, eBook exclusive Lords of the Underworld adventure! Once, Atlas, the Titan god of Strength, was the Greek goddess Nike's slave. Now, he is her master. And soon these sworn enemies destined to destroy one another will be forced to risk everything for a chance at love..."
hero of a highland wolf (heart of the wolf #14),paranormalfantasy,"she's ready for change... colleen playfair has never been to scotland, but when she discovers she must spend a year and a day overseas learning to manage her newly inherited estate, she's ready for the challenge. she even has some ideas for improvements-if she can get past the sexy werewolf who seems convinced he's the one in charge. but he's digging in his claws... grant macquarrie and his clan have been managing farraige castle for three centuries. the last thing he wants is a meddling american heiress trying to change the way things have always been done. he's more than willing to fight the she-wolf every step of the way, using every tool at his disposal. and if that means taking the lass to bed, well...all the better. locked in a battle of wills, caught in an attraction they can't escape, colleen and grant must find a way to work together...or face losing it all. She's ready for change... Colleen Playfair has never been to Scotland, but when she discovers she must spend a year and a day overseas learning to manage her newly inherited estate, she's ready for the challenge. She even has some ideas for improvements-if she can get past the sexy werewolf who seems convinced he's the one in charge. But he's digging in his claws... Grant MacQuarrie and his clan have been managing Farraige Castle for three centuries. The last thing he wants is a meddling American heiress trying to change the way things have always been done. He's more than willing to fight the she-wolf every step of the way, using every tool at his disposal. And if that means taking the lass to bed, well...all the better. Locked in a battle of wills, caught in an attraction they can't escape, Colleen and Grant must find a way to work together...or face losing it all."
"the lord of the rings trilogy (the lord of the rings, #1-3)",paranormalfantasy,"the original 'fantasy' series, and still the greatest, the lord of the rings has sold over 100 million copies, been translated into more than 40 languages, and has been voted the best book of the 20th century, while the hobbit has never been out of print since first published in 1937. if there are any works of fiction that deserve to be owned in magnificent editions - these are surely the ones. successive generations have been spellbound by the exploits of frodo, gandalf and their comrades as they journey towards mordor to do battle with the dark lord sauron. there is something about the alluring world of elves, dwarves and old magic which has proved exceptionally popular, working on the imagination both as an enthralling adventure story and, at a deeper level, as 'a comprehensive counter-myth to the story of the twentieth century' - independent. tolkien's treatment of the eternal struggle between good and evil, from stirring battles ('as good as anything in homer,' according to c. s lewis) to the conflict within every individual, is subtle, lyrical and profound. illustrated by eric fraser, one of the foremost british illustrators of the 20th century, his images - a total of 7 full-page images and 57 head-pieces - are based on original designs by queen margrethe ii of denmark. tolkien had seen her sketches and was so impressed that his executors gave special permission for fraser to interpret them for these folio editions. covers blocked in gold and maps of middle earth as endpapers complete this superb edition of one the world's favourite stories. The original 'fantasy' series, and still the greatest, The Lord of the Rings has sold over 100 million copies, been translated into more than 40 languages, and has been voted the best book of the 20th century, while The Hobbit has never been out of print since first published in 1937. If there are any works of fiction that deserve to be owned in magnificent editions - these are surely the ones. Successive generations have been spellbound by the exploits of Frodo, Gandalf and their comrades as they journey towards Mordor to do battle with the Dark Lord Sauron. There is something about the alluring world of elves, dwarves and old magic which has proved exceptionally popular, working on the imagination both as an enthralling adventure story and, at a deeper level, as 'a comprehensive counter-myth to the story of the twentieth century' - Independent. Tolkien's treatment of the eternal struggle between good and evil, from stirring battles ('as good as anything in Homer,' according to C. S Lewis) to the conflict within every individual, is subtle, lyrical and profound. Illustrated by Eric Fraser, one of the foremost British illustrators of the 20th century, his images - a total of 7 full-page images and 57 head-pieces - are based on original designs by Queen Margrethe II of Denmark. Tolkien had seen her sketches and was so impressed that his executors gave special permission for Fraser to interpret them for these Folio editions. Covers blocked in gold and maps of Middle Earth as endpapers complete this superb edition of one the world's favourite stories."
"fantasy & science fiction, july/august 2012 (the magazine of fantasy & science fiction, #702)",paranormalfantasy,"novellas: ""the fullness of time"", by kate wilhelm novelets: ""wearaway and flambeau"", by matthew hughes ""the afflicted"", by matthew johnson ""jack shade in the forest of souls"", by rachel pollack short stories: ""hartmut's world"", by albert e. cowdrey ""the woman who fooled death five times"", by eleanor arnason ""a natural history of autumn"", by jeffrey ford ""wizard"", by michaele jordan ""real faces"", by ken liu departments: books to look for, by charles de lint musings on books, by michelle west films: martian processed cheese, by lucius shepard science: quicksand and ketchup, by pat murphy and paul doherty coming attractions curiosities: ""rip foster rides the gray planet"", by blake savage (1952), by bud webster Novellas: ""The Fullness of Time"", by Kate Wilhelm Novelets: ""Wearaway and Flambeau"", by Matthew Hughes ""The Afflicted"", by Matthew Johnson ""Jack Shade in the Forest of Souls"", by Rachel Pollack Short Stories: ""Hartmut's World"", by Albert E. Cowdrey ""The Woman Who Fooled Death Five Times"", by Eleanor Arnason ""A Natural History of Autumn"", by Jeffrey Ford ""Wizard"", by Michaele Jordan ""Real Faces"", by Ken Liu Departments: Books to Look For, by Charles de Lint Musings on Books, by Michelle West Films: Martian Processed Cheese, by Lucius Shepard Science: Quicksand and Ketchup, by Pat Murphy and Paul Doherty Coming Attractions Curiosities: ""Rip Foster Rides the Gray Planet"", by Blake Savage (1952), by Bud Webster"
"dark swan (otherworld assassin, #3)",paranormalfantasy,"the alien huntress series is back with fan favorite air agent dallas gutierrez from new york timesand usa todaybestselling paranormal romance author gena showalter, who doesn't disappoint with this sizzling hot alpha hero. from blood red kiss anthology lilica swan isn't quite human or otherworlder; she is the best--and worst--of both. she is willing to do whatever proves necessary to save her sister from the seductive and deadly alien investigation and removal agent, dallas gutierrez, even bonding her lifeforce to his by effectively marrying him. but the bond will fade without consummation. can dallas resist his insatiable desire for the powerful beauty? or will she lead to his ultimate downfall? The Alien Huntress series is back with fan favorite AIR agent Dallas Gutierrez from New York Timesand USA TODAYbestselling paranormal romance author Gena Showalter, who doesn't disappoint with this sizzling hot alpha hero. From Blood Red Kiss anthology Lilica Swan isn't quite human or otherworlder; she is the best--and worst--of both. She is willing to do whatever proves necessary to save her sister from the seductive and deadly Alien Investigation and Removal agent, Dallas Gutierrez, even bonding her lifeforce to his by effectively marrying him. But the bond will fade without consummation. Can Dallas resist his insatiable desire for the powerful beauty? Or will she lead to his ultimate downfall?"
"black swan, white raven: a modern collection of fairy tales",paranormalfantasy,"a stellar assymbly of many of today's most creative and accomplished storytellers has gathered around the tribal fire to embroider well-worn yarns with new golden thread. black swan, white raven revisits the tales that charmed, enthralled, and terrified us in our early youth - carrying us aloft into the healthy, beating heart of cherished myth to tell once again the stories of rumpelstiltskins and sleeping beauties, only this time from an edgy, provocative and distinctly adult perspective. the themes and archetypes of our beloved childhood fiction are reexamined in a darker light by 21 superb teller of tales who deftly uncover the ironic, the outrageous, the enigmatic and the erotic at the core of the world's best-known fables, while revealing the sobering truths and lies behind ""happily ever after."" A stellar assymbly of many of today's most creative and accomplished storytellers has gathered around the tribal fire to embroider well-worn yarns with new golden thread. Black Swan, White Raven revisits the tales that charmed, enthralled, and terrified us in our early youth - carrying us aloft into the healthy, beating heart of cherished myth to tell once again the stories of Rumpelstiltskins and sleeping beauties, only this time from an edgy, provocative and distinctly adult perspective. The themes and archetypes of our beloved childhood fiction are reexamined in a darker light by 21 superb teller of tales who deftly uncover the ironic, the outrageous, the enigmatic and the erotic at the core of the world's best-known fables, while revealing the sobering truths and lies behind ""happily ever after."""
the strike of hot iron (a loving nip #13),paranormalfantasy,"just a little love bite: when a dingo shifter finds a reluctant mate, he needs plenty of help from his friends. pascal agreed to move with his two brothers to a vampire coven which runs a dude and cattle ranch. with both of his brothers wrapped up in their mates, he has plenty of opportunity to explore. he accepts his sexuality as he learns his likes, dislikes, and craving, which include submitting to a dominant lover. with abuse part of pascal's past, his brothers don't understand why he occasionally sports bruises from sex he claims is consensual. when the new blacksmith arrives at the ranch, pascal finally understands what his brothers had talked about when describing the mate-pull. abner johnson is all he can think about. unfortunately, while the huge redhead is okay with a little fun, he doesn't want a relationship...with anyone. he's also upfront about his feelings on biting--don't even try it. can pascal get help wooing his mate from his family and friends, even when they don't understand his desires? Just a little Love Bite: When a dingo shifter finds a reluctant mate, he needs plenty of help from his friends. Pascal agreed to move with his two brothers to a vampire coven which runs a dude and cattle ranch. With both of his brothers wrapped up in their mates, he has plenty of opportunity to explore. He accepts his sexuality as he learns his likes, dislikes, and craving, which include submitting to a dominant lover. With abuse part of Pascal's past, his brothers don't understand why he occasionally sports bruises from sex he claims is consensual. When the new blacksmith arrives at the ranch, Pascal finally understands what his brothers had talked about when describing the mate-pull. Abner Johnson is all he can think about. Unfortunately, while the huge redhead is okay with a little fun, he doesn't want a relationship...with anyone. He's also upfront about his feelings on biting--don't even try it. Can Pascal get help wooing his mate from his family and friends, even when they don't understand his desires?"
the pygmy dragon (shapeshifter dragon legends #1),paranormalfantasy,"alternate cover for this asin can be found  yesterday, a dragon kidnapped me from my cage in a zoo.  stolen from her jungle home and sold to a zookeeper, pip knows only a world behind bars, a world in which a pygmy warrior and her giant ape friends are a zoo attraction. she dreams of being human. she dreams of escaping to the world outside her cage. then, the dragon zardon kidnaps her into a new life. pip rides dragonback across the island-world to her new school - a school inside a volcano. a school where humans learn to be dragon riders. but this is only a foretaste of her magical destiny, for the dragon assassins are coming. they have floated an island across the rift and their aim is nothing less than the massacre of all dragons. now, the courage of the smallest will be tested to the utmost. for pip is the pygmy dragon, and this is her tale. Alternate cover for this ASIN can be found  Yesterday, a Dragon kidnapped me from my cage in a zoo.  Stolen from her jungle home and sold to a zookeeper, Pip knows only a world behind bars, a world in which a Pygmy warrior and her giant ape friends are a zoo attraction. She dreams of being Human. She dreams of escaping to the world outside her cage. Then, the Dragon Zardon kidnaps her into a new life. Pip rides Dragonback across the Island-World to her new school - a school inside a volcano. A school where Humans learn to be Dragon Riders. But this is only a foretaste of her magical destiny, for the Dragon Assassins are coming. They have floated an Island across the Rift and their aim is nothing less than the massacre of all Dragons. Now, the courage of the smallest will be tested to the utmost. For Pip is the Pygmy Dragon, and this is her tale."
explaining cthulhu to grandma and other stories,paranormalfantasy,"40 short stories by alex shvartsman, winner of the 2014 wsfa small press award for short fiction. * an elder god trapped in a pocket dimension turns up in the world's oldest magic pawn shop. * a cybernetically-enhanced assassin who can't feel pain faces a dangerous adversary. * a computer hacker and a mystic team up to break into the book of fate and change their futures. * vatican investigators are called to examine a miracle on another planet. and much, much more! the e-book includes 23 bonus stories not featured in the printed edition, for a total of 63 stories! each story includes author notes, written for this collection. praise for ""explaining cthulhu to grandma"": ""wit, sentiment, imagination--alex shvartsman's got them all."" -mike resnick, hugo award winner. ""fantastic variety and scope ... prepare to be entertained, delighted and amazed."" -esther friesner, nebula award winner. ""his stories feature tightly constructed, intricate, puzzle-like plots with clever banter and plenty of fresh, twisted pop culture references."" -ken liu, hugo and nebula award winner ""full of intriguing ideas and wit."" -jody lynn nye, bestselling author ""a wonderful collection of short stories that will make you laugh, think and feel."" -gini koch, bestselling author ""if you ever need to explain cthulhu to your grandma, this is the place to start."" -henry gee, senior editor at nature. 40 short stories by Alex Shvartsman, winner of the 2014 WSFA Small Press Award for Short Fiction. * An elder god trapped in a pocket dimension turns up in the world's oldest magic pawn shop. * A cybernetically-enhanced assassin who can't feel pain faces a dangerous adversary. * A computer hacker and a mystic team up to break into the Book of Fate and change their futures. * Vatican investigators are called to examine a miracle on another planet. and much, much more! The e-book includes 23 bonus stories not featured in the printed edition, for a total of 63 stories! Each story includes author notes, written for this collection. Praise for ""Explaining Cthulhu to Grandma"": ""Wit, sentiment, imagination--Alex Shvartsman's got them all."" -Mike Resnick, Hugo award winner. ""Fantastic variety and scope ... Prepare to be entertained, delighted and amazed."" -Esther Friesner, Nebula award winner. ""His stories feature tightly constructed, intricate, puzzle-like plots with clever banter and plenty of fresh, twisted pop culture references."" -Ken Liu, Hugo and Nebula award winner ""Full of intriguing ideas and wit."" -Jody Lynn Nye, bestselling author ""A wonderful collection of short stories that will make you laugh, think and feel."" -Gini Koch, bestselling author ""If you ever need to explain Cthulhu to your Grandma, this is the place to start."" -Henry Gee, senior editor at Nature."
temporary walls -- an anthology of moral fantasy,paranormalfantasy,an anthology of moral fantasy inspired by john gardner's on moral fiction. the 1993 world fantasy convention souvenir book An Anthology of Moral Fantasy inspired by John Gardner's On Moral Fiction. The 1993 World Fantasy Convention Souvenir Book
"reflash (assassin/shifter, #10)",paranormalfantasy,"cops tucker storm and wesley foster know who they want to spend the rest of their lives with. almost a year has gone by since they discovered that two firefighters - kurt maguire and austin jacobson - were their mates, chosen for them by the fates who match all werewolves with life partners. unfortunately, both firefighters are straight. they leave alaska for seattle, just to be close to the men. after all, the fates know what they're doing, right? right? austin jacobson and kurt maguire are colleagues and good friends, but each is hiding a secret from the other. both raised in tiny towns by rigid, bigoted parents with a 'gay is wrong' mentality, their minds are opened when they meet gay coworkers and realize that their parents were wrong. love is love and lucky is the person who finds it. a chance meeting with two cops from alaska sends both men reeling emotionally. austin can't stop thinking about tucker and kurt always has wesley on his mind. when the foursome meets again, feelings are revealed and a fragile journey begins. can austin and kurt open up and actually be with the men who occupy their thoughts? or will a lifetime of exposure to bigotry overrule their own hearts? warning: this book contains material that maybe offensive to some: violence, graphic language, homosexual relations, adult situations. Cops Tucker Storm and Wesley Foster know who they want to spend the rest of their lives with. Almost a year has gone by since they discovered that two firefighters - Kurt Maguire and Austin Jacobson - were their mates, chosen for them by the fates who match all werewolves with life partners. Unfortunately, both firefighters are straight. They leave Alaska for Seattle, just to be close to the men. After all, the fates know what they're doing, right? Right? Austin Jacobson and Kurt Maguire are colleagues and good friends, but each is hiding a secret from the other. Both raised in tiny towns by rigid, bigoted parents with a 'gay is wrong' mentality, their minds are opened when they meet gay coworkers and realize that their parents were wrong. Love is love and lucky is the person who finds it. A chance meeting with two cops from Alaska sends both men reeling emotionally. Austin can't stop thinking about Tucker and Kurt always has Wesley on his mind. When the foursome meets again, feelings are revealed and a fragile journey begins. Can Austin and Kurt open up and actually be with the men who occupy their thoughts? Or will a lifetime of exposure to bigotry overrule their own hearts? WARNING: This book contains material that maybe offensive to some: Violence, graphic language, homosexual relations, adult situations."
fifty feet of trouble (city of devils #2),paranormalfantasy,"being a private investigator ain't all it's cracked up to be--especially when you spend most of your time looking for missing kids and trying not to get turned into something that goes bump in the night instead of making time with femme fatales. but hey, it's a living. and there's never a shortage of work for the last human detective in a city of monsters. right now, nick moss has three cases: tracking a missing girl, a young woman, and a toad, not necessarily in that order. the deeper he gets, the more troubling connections he finds--to his past, to some of the most dangerous monsters in the city, and to places he hoped he'd never have to go. all nick knows for certain is that he's in trouble. fifty feet of it. Being a private investigator ain't all it's cracked up to be--especially when you spend most of your time looking for missing kids and trying not to get turned into something that goes bump in the night instead of making time with femme fatales. But hey, it's a living. And there's never a shortage of work for the last human detective in a city of monsters. Right now, Nick Moss has three cases: tracking a missing girl, a young woman, and a toad, not necessarily in that order. The deeper he gets, the more troubling connections he finds--to his past, to some of the most dangerous monsters in the city, and to places he hoped he'd never have to go. All Nick knows for certain is that he's in trouble. Fifty feet of it."
"riptide: betrayal of blood (the maura deluca trilogy, #3)",paranormalfantasy,"maura has never felt so alone in her life...nor has her existence ever been so overshadowed by peril ... not only do both her parents--her distant but loving mother and recently- returned father--remain absent from her life, but due to the hideous error in judgement executed in collusion with her best friend, valdamir, and adoptive sister, susie, maura has been cut off from the pair's friendship and support, forbidden by both her father and the fallout from the dire outcome to see either of them. the heartbreak she suffers, brought on by the weight of these estrangements, is only intensified by the continued mysterious absence of her supernaturally-destined mate, ron...whose disappearance delivers grave consequences maura would have never dreamed possible... despised by her vampire cousin, aldiva, for reasons maura cannot yet comprehend, the young changeling will be forced to guard her back with every step, as she comes to realize this member of her vampire family would love nothing more than to bring about her demise. aldiva's wrath calls forth other members from both vancouver covens, forcing them to rush to maura's aid--even though her father, their king, has expressly forbidden the other vampires to initiate contact with his daughter. will her extended family on vancouver island obey, abandoning maura to her doom, or will they instead rebel against maxwell's wishes in order to save her life? in addition to the menace personified in her unsolicited enemy, the unlikely vampire princess will find herself drowning as she is pulled down into the depths of a far more devastating crisis...one which may condemn her to a fate she considers much more undesirable than death. but in order to tear herself free from the deadly pull which is drawing her under, maura must enlist the help of her preternatural family, exposing her newfound friends to a danger none of them have ever had the misfortune to face before. can she be saved or will the riptide drag maura under...along with those she loves the most... in this third and final book of the maura deluca trilogy, the reader will delve even deeper into the secrets guarded by maura's father, the mystery of ron's role in her life and the identities of the mysterious vancouver island coven members who have, up until now, remained hidden in the shadows. this trilogy rounds out the segment of maura's life during which she discovers she is a member of the born--a human destined to complete her transformation into a vampire! this series of young adult fantasy novels has been enjoyed by readers of nearly every age and are found by them to be dramatically different from any other vampire books they have read in the past. discover a magical world filled with fae, angels, elves, pixies and other enchanting creatures in addition to two families made up of some of the most likeable vampires--for the most part--to ever exist. Maura has never felt so alone in her life...nor has her existence ever been so overshadowed by peril ... Not only do both her parents--her distant but loving mother and recently- returned father--remain absent from her life, but due to the hideous error in judgement executed in collusion with her best friend, Valdamir, and adoptive sister, Susie, Maura has been cut off from the pair's friendship and support, forbidden by both her father and the fallout from the dire outcome to see either of them. The heartbreak she suffers, brought on by the weight of these estrangements, is only intensified by the continued mysterious absence of her supernaturally-destined mate, Ron...whose disappearance delivers grave consequences Maura would have never dreamed possible... Despised by her vampire cousin, Aldiva, for reasons Maura cannot yet comprehend, the young changeling will be forced to guard her back with every step, as she comes to realize this member of her vampire family would love nothing more than to bring about her demise. Aldiva's wrath calls forth other members from both Vancouver covens, forcing them to rush to Maura's aid--even though her father, their king, has expressly forbidden the other vampires to initiate contact with his daughter. Will her extended family on Vancouver Island obey, abandoning Maura to her doom, or will they instead rebel against Maxwell's wishes in order to save her life? In addition to the menace personified in her unsolicited enemy, the unlikely vampire princess will find herself drowning as she is pulled down into the depths of a far more devastating crisis...one which may condemn her to a fate she considers much more undesirable than death. But in order to tear herself free from the deadly pull which is drawing her under, Maura must enlist the help of her preternatural family, exposing her newfound friends to a danger none of them have ever had the misfortune to face before. Can she be saved or will the riptide drag Maura under...along with those she loves the most... In this third and final book of The Maura DeLuca Trilogy, the reader will delve even deeper into the secrets guarded by Maura's father, the mystery of Ron's role in her life and the identities of the mysterious Vancouver Island Coven members who have, up until now, remained hidden in the shadows. This trilogy rounds out the segment of Maura's life during which she discovers she is a member of The Born--a human destined to complete her transformation into a vampire! This series of young adult fantasy novels has been enjoyed by readers of nearly every age and are found by them to be dramatically different from any other vampire books they have read in the past. Discover a magical world filled with fae, angels, elves, pixies and other enchanting creatures in addition to two families made up of some of the most likeable vampires--for the most part--to ever exist."
"blue twilight (wings in the night, #11)",paranormalfantasy,"endover, new hampshire, looksinnocent. but below its surface an ancient and powerful thirst boils fiercely. when two girls go missing, only one person can find them: private investigator maxine stuart. no other living mortal knows as much about the undead as ""mad maxie."" but the dark force controlling endover will use that knowledge to strengthen his hold on the town--and on her. not even lou malone, the man maxie most desires, can convince her to abandon her crusade against a madman's yearning for power...and resurrected love. Endover, New Hampshire, looksinnocent. But below its surface an ancient and powerful thirst boils fiercely. When two girls go missing, only one person can find them: private investigator Maxine Stuart. No other living mortal knows as much about the undead as ""Mad Maxie."" But the dark force controlling Endover will use that knowledge to strengthen his hold on the town--and on her. Not even Lou Malone, the man Maxie most desires, can convince her to abandon her crusade against a madman's yearning for power...and resurrected love."
